Lure Word,Related Word,Similarity,Num Characters,Num Syllables,Frequency
sleep,bathe,0.412187845,5,1,3.22
sleep,hibernate,0.410496503,9,3,2.7
sleep,actigraphy,0.410300583,10,4,1.13
sleep,enuresis,0.410215765,8,4,1.67
sleep,wakes,0.407826662,5,2,3.68
sleep,overtired,0.407274187,9,4,2.03
sleep,breathing,0.406384438,9,2,4.28
sleep,premies,0.405649185,7,2,1.12
sleep,snuggle,0.404644907,7,2,3.04
sleep,bathroom,0.402544141,8,2,4.54
sleep,parasomnias,0.402229846,11,4,1.41
sleep,sedated,0.400589556,7,3,2.78
sleep,overeating,0.399743497,10,4,2.69
sleep,groggy,0.39799425,6,2,2.61
sleep,ambulate,0.396870971,8,3,1.4
sleep,nookie,0.396382809,6,1,2.03
sleep,catastrophize,0.395856351,13,4,1.09
sleep,chervin,0.394859999,7,2,1.04
sleep,zopiclone,0.393732697,9,3,1.57
sleep,cot,0.393335998,3,1,3.21
sleep,irritability,0.391991407,12,6,2.76
sleep,caffeinate,0.391730934,10,3,1.05
sleep,backache,0.390521735,8,2,2.22
sleep,hypnotics,0.390358984,9,3,1.79
sleep,destress,0.390108407,8,2,1.77
sleep,advil,0.389315218,5,2,2.59
sleep,ovulate,0.388086826,7,3,2.16
sleep,unconsciousness,0.387883246,15,4,2.69
sleep,biorhythms,0.387458831,10,2,1.43
sleep,narcolepsy,0.387451142,10,4,2.5
sleep,bathtime,0.386769712,8,2,1.8
sleep,nocturnal,0.386499733,9,3,3.24
sleep,whiling,0.386448562,7,2,1.67
sleep,wakened,0.385287195,7,3,1.9
sleep,irritable,0.385060936,9,4,3.09
sleep,blankie,0.384975642,7,2,1.29
sleep,wakeup,0.384745121,6,2,2.56
sleep,lovemaking,0.384654045,10,4,2.57
sleep,vomited,0.383543611,8,3,1.15
sleep,schoolwork,0.382769197,10,2,2.75
sleep,mealtimes,0.382654369,9,3,2.24
sleep,woken,0.381389439,5,2,3.37
sleep,playtime,0.381359637,8,2,3
sleep,solitude,0.38116172,8,3,3.42
sleep,masturbate,0.380944759,10,3,3.18
sleep,jammies,0.380797178,7,2,2.29
sleep,nighttime,0.380773515,9,2,3.27
sleep,tranquilizers,0.379830658,13,4,2.35
sleep,zolpidem,0.379742175,8,3,2.1
sleep,polysomnography,0.3791897,15,6,1.57
sleep,cuddling,0.378720999,8,2,3.11
sleep,hypos,0.378705531,5,2,1.54
sleep,chronobiology,0.377896518,13,5,1.44
sleep,shower,0.377591729,6,2,4.5
sleep,snacking,0.377434343,8,2,2.84
sleep,lunesta,0.37692067,7,3,1.69
sleep,menstruate,0.37660864,10,2,1.87
sleep,apneic,0.376501977,6,2,1.42
sleep,laze,0.376378655,4,1,2.16
sleep,bulimic,0.376348346,8,3,1.31
sleep,hallucinations,0.376233548,14,5,3.28
sleep,nausea,0.376170278,7,2,1.39
sleep,recliner,0.375141293,8,3,2.57
sleep,migraines,0.374284267,9,3,3.08
sleep,distractibility,0.373996675,15,6,1.45
sleep,postcoital,0.373297274,10,3,1.37
sleep,bladdered,0.371636182,9,3,1.28
sleep,anhedonia,0.370948166,9,4,1.93
sleep,orexin,0.370848238,6,3,1.71
sleep,tryptophan,0.370577186,10,3,2.59
sleep,awaking,0.369995505,7,3,2.03
sleep,zonked,0.369863331,6,2,1.78
sleep,hyperphagia,0.369467407,11,4,1.17
sleep,siesta,0.369407415,6,2,2.6
sleep,serotonin,0.368666917,9,4,3.26
sleep,nocturia,0.368378878,8,3,1.38
sleep,metabolism,0.367862582,10,4,3.78
sleep,caffeine,0.367736161,8,2,3.67
sleep,wakening,0.367613047,8,3,1.67
sleep,homework,0.367069542,8,2,4.13
sleep,comas,0.366990477,5,2,2.35
sleep,pillow,0.366484255,6,2,3.96
sleep,boxspring,0.366399229,9,2,1.04
sleep,fatigued,0.365781963,8,3,2.98
sleep,intercourse,0.36572817,11,3,3.6
sleep,meditating,0.365438581,10,4,3.03
sleep,loll,0.364442796,4,1,2.25
sleep,nightmares,0.364077151,10,3,3.73
sleep,daydreaming,0.363128901,11,3,2.87
sleep,rhythmicity,0.362956017,11,4,1.44
sleep,retching,0.362402588,8,2,2.2
sleep,carskadon,0.362195492,9,3,1.04
sleep,breastfeed,0.361786485,10,2,2.82
sleep,sedentary,0.361203045,9,4,3.14
sleep,pajamas,0.360125721,7,3,3.31
sleep,sedation,0.360003024,8,3,2.95
sleep,bruxism,0.359747678,7,2,1.85
sleep,seasickness,0.35787636,11,3,2.12
sleep,slobbing,0.357833147,8,2,1.21
sleep,daylight,0.357744008,8,2,3.84
sleep,palpitations,0.357579291,12,4,2.69
sleep,nights,0.357414424,6,1,4.47
sleep,stupor,0.357027292,6,2,2.72
sleep,cravings,0.356640279,8,2,3.27
sleep,poochy,0.355932862,6,2,1.54
sleep,drugged,0.355649412,7,2,3.24
sleep,sweating,0.355472058,8,2,3.66
sleep,socializing,0.355383575,11,4,2.97
sleep,adderall,0.355224043,7,3,1.4
sleep,slumberland,0.354986489,11,3,1.47
sleep,ambulation,0.354794502,10,4,1.67
sleep,deconditioning,0.354743004,14,5,1.33
sleep,cooped,0.35458684,6,2,2.47
sleep,malinger,0.354377002,8,3,1.18
sleep,sofa,0.35428986,4,2,3.81
sleep,extubated,0.353966296,9,4,1.26
sleep,goodnight,0.353896827,9,2,3.64
sleep,orgasm,0.353784323,6,2,3.67
sleep,tummy,0.353727847,5,2,3.43
sleep,hyperthyroid,0.35372442,12,4,1.48
sleep,waker,0.352981865,5,2,2.2
sleep,binging,0.352532744,7,2,2.41
sleep,hallucinating,0.352328539,13,5,2.72
sleep,suhoor,0.352326393,6,2,1.15
sleep,pee,0.352013677,3,1,3.96
sleep,mope,0.351879418,4,1,2.25
sleep,tuckered,0.351793081,8,3,1.85
sleep,defecate,0.351752937,8,3,2.4
sleep,lazing,0.351465672,6,2,2.17
sleep,aches,0.351284832,5,2,3.28
sleep,hypopnea,0.351253539,8,3,1.35
sleep,breathe,0.350971937,7,1,4.26
sleep,toileting,0.350731701,9,3,1.84
sleep,fidget,0.350708395,6,2,2.59
sleep,respirations,0.350439548,12,4,1.75
sleep,vomited,0.350005984,7,3,2.88
sleep,housework,0.349755824,9,3,3.08
sleep,sulk,0.349588364,4,1,2.55
sleep,oding,0.349573433,5,2,1.31
sleep,benedryl,0.349200368,8,3,1.35
sleep,duvet,0.349007636,5,2,2.99
sleep,benadryl,0.348720372,8,3,2.57
sleep,drank,0.348428011,5,1,3.95
sleep,libido,0.348391205,6,3,3.06
sleep,reclined,0.348211467,8,3,2.32
sleep,premenstrual,0.348021865,12,3,2.07
sleep,cooped,0.34775728,6,2,1.55
sleep,valerian,0.347755313,8,3,2.58
sleep,detox,0.347381294,5,2,3.29
sleep,thorazine,0.347048014,9,3,1.82
sleep,tinnitus,0.346931666,8,3,2.83
sleep,roust,0.346884608,5,1,1.59
sleep,socialize,0.34684369,9,3,3.16
sleep,ventolin,0.346703529,8,3,1.79
sleep,boredom,0.346664935,7,3,3.46
sleep,skimping,0.346486539,8,2,2.01
sleep,mornings,0.346374154,8,2,3.66
sleep,exercisers,0.346284628,10,4,1.8
sleep,vaginismus,0.346237898,10,4,1.75
sleep,hibernating,0.346205771,11,4,2.57
sleep,overindulge,0.345867157,11,4,1.81
sleep,hyperventilate,0.345823795,14,5,2.04
sleep,achy,0.345655531,5,2,1.57
sleep,lorazepam,0.345594972,9,4,2.25
sleep,halcion,0.34534353,7,2,1.2
sleep,thermoregulatory,0.344670981,16,7,1.38
sleep,armodafinil,0.344663709,11,5,1.24
needle,syringe,0.610164165,7,2,3.27
needle,curette,0.516122758,7,2,1.44
needle,lancet,0.510006487,6,2,3.07
needle,cannula,0.468831778,7,3,2.45
needle,awl,0.459470153,3,1,2.41
needle,hypodermic,0.459388345,10,4,2.48
needle,catheter,0.456206292,8,3,3.24
needle,pipette,0.44712168,7,2,2.28
needle,trocar,0.43998903,6,2,1.9
needle,scalpel,0.439799935,8,2,1.97
needle,speculum,0.433940142,8,3,2.47
needle,swab,0.433232665,4,1,2.83
needle,buccal,0.422702581,6,2,2.3
needle,hatpin,0.41857639,6,2,1.4
needle,injector,0.41670534,8,3,2.86
needle,pessary,0.411862791,7,3,1.57
needle,handpiece,0.410667717,9,2,1.77
needle,bodkin,0.410618752,6,2,2.1
needle,pricked,0.410516888,7,2,2.54
needle,laparoscope,0.409458607,11,4,1.41
needle,venipuncture,0.408398092,12,4,1.4
needle,tweezers,0.405867428,8,2,2.77
needle,laryngoscope,0.405183017,12,4,1.72
needle,razorblade,0.400984228,10,3,1.62
needle,forceps,0.400328934,7,2,2.63
needle,screwdriver,0.398728043,11,3,3.13
needle,earlobe,0.397432834,7,2,2.27
needle,novocaine,0.396414042,9,3,1.9
needle,aspirator,0.395861328,9,4,1.68
needle,cauterizing,0.395820975,11,4,1.66
needle,mouthparts,0.394821644,10,2,1.93
needle,retractors,0.394050032,10,3,1.72
needle,vagina,0.394034892,6,3,3.82
needle,anus,0.393865496,4,2,3.25
needle,aspirate,0.393400997,8,3,2.1
needle,shiv,0.391848445,4,1,3.09
needle,tube,0.390855908,4,1,4.36
needle,spile,0.389802933,5,1,1.22
needle,obturator,0.388710886,9,4,1.9
needle,pricking,0.387631148,8,2,2.23
needle,bobbin,0.387406439,6,2,2.52
needle,cautery,0.384414881,7,3,1.64
needle,vial,0.383508891,4,1,3.1
needle,luer,0.383220971,4,1,1.81
needle,stiletto,0.382690758,8,3,2.73
needle,burrs,0.38142854,5,1,2.22
needle,unlubricated,0.38085568,12,5,1.13
needle,fishhook,0.378930658,8,2,1.87
needle,rectum,0.378899097,6,2,2.96
needle,plunger,0.378362715,7,2,2.92
needle,cauterizes,0.377909899,10,4,1.04
needle,reamer,0.37732619,6,2,1.91
needle,bead,0.375723898,4,1,3.44
needle,microinjection,0.375561088,14,4,1.55
needle,knife,0.374911815,5,1,4.41
needle,nostril,0.374789119,7,2,2.77
needle,unsterilized,0.374786288,12,5,1.36
needle,dilator,0.374725968,7,3,1.96
needle,pinprick,0.374582887,8,2,1.99
needle,moxa,0.374185771,4,2,1.47
needle,bronchoscope,0.373974383,12,3,1.31
needle,toothpick,0.373716623,9,2,2.81
needle,umbilicus,0.373619318,9,4,2.28
needle,clit,0.370990753,4,1,3.1
needle,suture,0.370844394,6,2,3.02
needle,navel,0.370771796,5,2,2.95
needle,rectal,0.370512217,8,3,1.67
needle,knotless,0.369502246,8,2,1.11
needle,frenulum,0.368343323,8,3,1.84
needle,anesthetic,0.367521346,10,4,3.06
needle,glucometer,0.367108911,10,4,1.34
needle,clave,0.366439015,5,1,2.25
needle,percutaneously,0.365962744,14,5,1.35
needle,chopstick,0.365922332,9,2,2.22
needle,subdermal,0.364691377,9,3,1.67
needle,spoon,0.364344656,5,1,3.88
needle,cuvettes,0.364228249,8,3,1.16
needle,tailstock,0.363322765,9,2,1.24
needle,untwisting,0.363241047,10,3,1.15
needle,scleral,0.363042146,7,2,1.83
needle,bullet,0.362603307,6,2,4.24
needle,xylocaine,0.362337708,9,3,1.4
needle,fletching,0.362102479,9,2,1.66
needle,condom,0.362059087,6,2,3.6
needle,intravenous,0.361513376,11,4,3.13
needle,unthreaded,0.361073494,10,3,1.21
needle,suppository,0.360421717,11,5,2.27
needle,abdomen,0.359538406,7,3,3.56
needle,nipple,0.358744562,6,2,3.45
needle,armpit,0.358437359,6,2,3
needle,stethoscope,0.358301729,11,3,2.66
needle,incision,0.35696733,8,3,3.16
needle,forehead,0.3568964,8,2,3.87
needle,threader,0.35643369,8,2,1.51
needle,bedpan,0.355798751,6,2,1.82
needle,bicuspid,0.355631948,8,3,1.84
needle,calliper,0.355496377,8,3,1.28
needle,suprarenal,0.355217874,10,4,1.22
needle,penis,0.354977161,5,2,4.05
needle,tweezing,0.354191065,8,2,1.6
needle,applicator,0.354132026,10,4,2.59
needle,eardrops,0.35351342,8,2,1.03
needle,collimator,0.353016585,10,4,1.74
needle,bolus,0.352256984,5,2,2.6
needle,barb,0.352019817,4,1,3.31
needle,electrodes,0.351595819,10,4,3.29
needle,threading,0.351364046,9,2,2.91
needle,droplet,0.350868523,7,2,2.74
needle,arrow,0.350656152,5,2,4.13
needle,otoscope,0.350604504,8,3,1.36
needle,intraosseous,0.35050872,12,3,1.38
needle,toothbrush,0.350450993,10,2,3.38
needle,bayonet,0.350212395,7,2,3.15
needle,mercurochrome,0.349940598,13,4,1.31
needle,ovipositor,0.349379152,10,5,1.89
needle,stainer,0.348742723,7,2,1.94
needle,laminaria,0.347749799,9,4,1.66
needle,anesthesia,0.347373366,10,4,3.39
needle,guidewire,0.346674085,9,3,1.76
needle,treadle,0.3462722,7,2,1.89
needle,fluoroscopic,0.344950885,12,4,1.59
needle,forefinger,0.344913125,10,4,2.38
needle,rod,0.344879389,3,1,4.14
needle,diaphragm,0.343886822,9,2,3.09
needle,cystoscope,0.343829602,10,3,1.2
needle,occluder,0.343230754,8,3,1.21
needle,bandaids,0.343056977,8,2,1.87
needle,microelectrode,0.342773438,14,4,1.72
needle,saliva,0.34241876,6,3,3.35
needle,stylet,0.342137724,6,2,1.63
needle,countersink,0.341931403,11,3,1.55
needle,gauze,0.341700286,5,1,2.89
needle,doorknob,0.341294914,8,2,2.65
needle,cavity,0.341086298,6,3,3.61
needle,buttocks,0.340783268,8,2,3.15
needle,bowstring,0.34069097,9,2,1.97
needle,fluoroscopy,0.340608269,11,4,1.95
needle,filament,0.340278685,8,3,3.09
needle,transcutaneous,0.340152293,14,4,1.8
needle,gastrostomy,0.339877516,11,4,1.57
needle,atraumatic,0.33870703,10,4,1.35
needle,intradermally,0.33864513,13,5,1.01
needle,scissor,0.338481516,7,2,2.91
needle,intubating,0.338154346,10,4,1.28
needle,auricular,0.337675035,9,4,1.98
needle,eyeball,0.337519526,7,2,3.1
needle,tweezed,0.337340713,7,2,1.28
needle,tongue,0.336815178,6,1,4.37
needle,blades,0.336718082,6,2,3.87
needle,lances,0.336340427,6,2,2.58
needle,gel,0.336171538,3,1,3.84
needle,teats,0.336100876,5,1,2.27
needle,dowel,0.336047322,5,2,2.38
needle,reciprocating,0.335773826,13,5,2.71
needle,betadine,0.335553467,8,3,1.56
needle,jab,0.335530996,3,1,3.35
needle,chamfering,0.335237592,10,3,1.13
needle,prepuce,0.334694147,7,2,1.72
needle,incising,0.334519297,8,3,1.49
needle,benzocaine,0.334476113,10,3,1.71
needle,evista,0.334277153,6,3,1.42
needle,scrotum,0.334173083,7,2,2.85
needle,orifice,0.333792478,7,3,2.77
needle,pliers,0.33370167,6,1,2.9
needle,tarsus,0.33361569,6,2,2.63
needle,pitocin,0.333198577,7,3,1.65
needle,specula,0.332989544,7,3,1.43
needle,sprocket,0.332637817,8,2,2.59
needle,ophthalmoscope,0.33263126,14,4,1.51
needle,narcan,0.332620949,6,2,2.09
needle,lopper,0.332571715,6,2,1.2
needle,intraoperatively,0.332312614,16,7,1.33
needle,spatula,0.332265764,7,3,2.86
needle,caliper,0.332182199,7,3,2.65
needle,anesthetizing,0.331852406,13,5,1.31
needle,clothespin,0.331344813,10,3,1.83
needle,spacers,0.331164271,7,2,2.53
needle,nosepiece,0.3310287,9,3,1.17
needle,tragus,0.330834746,6,2,1.98
needle,suctions,0.330639571,8,2,1.32
needle,intubate,0.330074161,8,3,1.71
needle,nozzle,0.329922646,6,2,3.24
needle,collet,0.329295248,6,2,2.32
needle,lidocaine,0.329278976,9,3,2.54
needle,sublingually,0.329268247,12,4,1.29
needle,plethysmograph,0.329001188,14,4,1.1
needle,nasogastric,0.328799337,11,4,1.72
needle,midface,0.328659087,7,2,1.37
needle,derm,0.328644335,4,1,2.25
needle,gouts,0.328282654,5,1,1.29
needle,quills,0.328146189,6,1,2.49
needle,piercing,0.32785669,8,2,3.57
needle,antrum,0.3276847,6,2,1.58
needle,curettage,0.327552527,9,3,1.78
needle,foreskin,0.327458322,8,3,2.72
needle,chest,0.327266455,5,1,4.52
needle,elastics,0.327186167,8,3,1.94
needle,lever,0.32704863,5,2,3.64
needle,interdental,0.327007353,11,4,1.84
needle,freckle,0.326836228,7,2,2.36
needle,reattach,0.326477647,8,2,2.32
needle,blowpipe,0.325955629,8,2,1.99
needle,bleb,0.32546252,4,1,1.43
needle,transvaginal,0.32493192,12,4,2.02
needle,sellotape,0.324877918,9,3,1.85
needle,implant,0.324861914,7,2,3.48
needle,uvula,0.324545264,5,3,1.98
needle,stitch,0.324266315,6,1,3.64
needle,nasal,0.324210852,5,2,3.49
needle,waistband,0.3238886,9,2,2.74
needle,fentanyl,0.323885351,8,3,2.86
needle,suturing,0.323660672,8,3,2.23
needle,perforator,0.323614538,10,4,1.55
needle,fingernail,0.323496968,10,3,2.73
needle,gunstock,0.323276103,8,2,1.38
needle,accupuncture,0.322648495,12,4,1.04
needle,pencil,0.322267234,6,2,3.95
needle,molluscum,0.322085649,9,3,1.52
needle,intrathecal,0.321374953,11,4,1.86
needle,dildo,0.321002275,5,2,3.4
needle,pellet,0.320998549,6,2,3.1
needle,bimanual,0.320971161,8,3,1.36
needle,labret,0.320723146,6,2,1.53
needle,potholder,0.320704341,9,3,1.38
needle,gripper,0.320692331,7,2,2.22
needle,hemostat,0.320075929,8,3,1.45
needle,radially,0.319836944,8,3,2.49
needle,radula,0.319807589,6,3,1.75
needle,superglue,0.319797516,9,2,2.18
needle,hickeys,0.319790065,7,2,1.84
needle,nebuliser,0.319652498,9,4,1.22
needle,pinecone,0.319539547,8,3,2.07
needle,ampoule,0.319415033,7,2,2.04
needle,lollypop,0.319336802,8,3,1.77
needle,suppositorie,0.319314331,13,5,2.21
needle,diathermy,0.319213599,9,3,1.48
needle,debride,0.318990886,7,2,1.15
needle,patient,0.318821162,7,2,4.77
needle,plasmapheresis,0.318728924,14,5,1.79
needle,sock,0.318022996,4,1,3.61
needle,penlight,0.31785658,8,2,1.63
needle,dishpan,0.317844093,7,2,1.47
needle,thermometers,0.317840308,12,4,2.54
needle,methadone,0.317798525,9,3,2.98
needle,keyhole,0.317696989,7,2,2.83
needle,transrectal,0.31759584,11,3,1.16
needle,ferrule,0.317577869,7,2,1.97
needle,nasolabial,0.317406327,10,4,1.53
needle,lollipop,0.317343384,8,3,3.15
needle,verrucas,0.317289054,8,3,1.16
needle,commissure,0.317204475,10,3,1.58
needle,chlorhexidine,0.317163795,13,4,1.94
needle,surgical,0.317038864,8,3,4.05
needle,nematocysts,0.317032993,11,4,1.49
needle,trach,0.316931963,5,1,1.9
needle,glans,0.316780955,5,1,2.42
needle,razors,0.31673798,6,2,2.85
needle,lavage,0.316731066,6,2,2.16
needle,bloodstream,0.316455692,11,2,3.16
needle,burs,0.316407889,4,1,1.72
needle,mucosa,0.316370279,6,3,2.67
needle,plectrum,0.316358954,8,2,1.87
needle,creaser,0.316253752,7,2,1.26
needle,insufflation,0.316161692,12,4,1.62
needle,thumbtack,0.316155493,9,2,1.88
needle,chin,0.316082329,4,1,4
needle,unsterile,0.315965861,9,3,1.19
needle,lamisil,0.315953851,7,3,1.3
needle,ureter,0.31587714,6,3,2.01
needle,sphygmomanometer,0.315843761,16,6,1.44
needle,breastbone,0.315833837,10,2,1.93
needle,infuser,0.31569761,7,3,2.02
needle,dremel,0.315623492,6,2,2.11
needle,ivs,0.315606773,3,1,2.52
needle,dural,0.315588862,5,2,2.14
needle,nares,0.315537632,5,2,2.12
needle,brachial,0.315533251,8,2,2.31
needle,paracentesis,0.315497041,12,5,1.3
needle,induration,0.315306187,10,4,1.31
needle,pitchfork,0.315231591,9,2,3.01
needle,chainring,0.315005332,9,2,1.78
needle,palpation,0.314936817,9,3,2.05
needle,armhole,0.314741611,7,2,1.54
needle,cerclage,0.31473884,8,2,1.43
needle,pacifier,0.314575702,8,3,2.64
needle,bandage,0.314518422,7,2,3.24
needle,medially,0.314205557,8,3,2.11
needle,endo,0.314089686,4,2,2.9
needle,acupoints,0.31366697,9,3,1.29
needle,drip,0.313558817,4,1,3.58
needle,gallbladders,0.31317088,12,3,1.26
needle,posteriorly,0.313155025,11,4,2.47
needle,minora,0.313068986,6,3,1.98
needle,hipbone,0.312977612,7,2,1.41
needle,serrations,0.312864989,10,3,2.04
needle,abrade,0.312709451,6,2,1.69
needle,pricks,0.312666804,6,1,3.03
needle,parison,0.312598795,7,3,1.62
needle,phial,0.312172115,5,1,1.93
needle,oar,0.311862975,3,1,2.89
needle,suprapubic,0.311718166,10,4,1.53
needle,snip,0.311710894,4,1,2.84
needle,bellybuttons,0.311608434,12,4,1.33
needle,exacto,0.311562628,6,3,1.67
needle,subcutaneously,0.311560214,14,5,2.06
needle,painless,0.31155166,8,2,3.16
needle,curare,0.311496377,6,2,1.94
needle,cartridge,0.311314136,9,2,3.57
needle,binkie,0.311269224,6,1,1.48
needle,granuloma,0.311032385,9,4,2.01
needle,femoral,0.311006695,7,3,2.89
needle,lacerate,0.310930282,8,3,1.71
needle,acetonide,0.310839623,9,4,1.52
sweet,yummy,0.59638238,5,2,3.54
sweet,buttery,0.5939942,7,3,2.91
sweet,delicious,0.586637557,9,3,4.34
sweet,fruity,0.580405474,6,2,3.26
sweet,tasty,0.56734854,5,2,3.84
sweet,lovely,0.56544739,6,2,4.74
sweet,chocolaty,0.564639628,9,4,1.87
sweet,grapey,0.559221208,6,2,1.23
sweet,tangy,0.557735264,5,2,2.64
sweet,luscious,0.555792093,8,2,2.99
sweet,chocolatey,0.554066837,10,4,2.26
sweet,delectable,0.55091089,10,4,2.7
sweet,tart,0.548821867,4,1,3.37
sweet,chocolately,0.54783833,11,5,1.19
sweet,creamy,0.54674542,6,2,3.43
sweet,lemony,0.541837811,6,3,2.47
sweet,savory,0.540970683,6,3,3
sweet,scrumptious,0.538147569,11,2,2.65
sweet,spicy,0.536080658,5,2,3.8
sweet,roasty,0.534108937,6,2,1.47
sweet,gooey,0.529954493,5,1,2.86
sweet,fudgey,0.527634382,6,2,1.17
sweet,crunchy,0.527186632,7,2,3.22
sweet,winey,0.527070701,5,2,1.47
sweet,delightful,0.525158286,10,3,3.77
sweet,wheaty,0.518133879,6,2,1.2
sweet,cute,0.517477155,4,1,4.65
sweet,peppery,0.51695329,7,3,2.36
sweet,sugary,0.511196077,6,3,3.13
sweet,winy,0.509414613,4,2,1.3
sweet,zesty,0.508830547,5,2,2.41
sweet,coconutty,0.508526683,9,4,1.17
sweet,mushroomy,0.506958067,9,3,1.06
sweet,caramel,0.504955053,7,3,3.48
sweet,mellow,0.503456473,6,2,3.32
sweet,winsome,0.502355099,7,2,2.39
sweet,custardy,0.499698818,8,3,1.35
sweet,jammy,0.498414665,5,2,2.38
sweet,spicey,0.496394098,6,2,1.85
sweet,sappy,0.495693386,5,2,2.68
sweet,goooood,0.495686382,7,1,1.92
sweet,snickerdoodle,0.495457888,13,4,1.7
sweet,salty,0.494904876,5,2,3.74
sweet,fragrant,0.494385213,8,2,3.21
sweet,dreamy,0.49411279,6,2,3.23
sweet,delish,0.494108886,6,2,2.49
sweet,melony,0.493720651,6,3,1.33
sweet,oniony,0.493651211,6,3,1.39
sweet,fudgy,0.492300838,5,2,1.73
sweet,juicy,0.49191457,5,2,3.7
sweet,citrusy,0.4918437,7,3,2.01
sweet,nice,0.491096973,4,1,5.37
sweet,oaty,0.489200652,4,2,1.3
sweet,charming,0.489064574,8,2,4.07
sweet,gingery,0.488919467,7,3,1.66
sweet,bready,0.488342941,6,2,1.76
sweet,slurpy,0.486358643,6,2,1.42
sweet,chewy,0.485704988,5,2,2.94
sweet,clafoutis,0.484928221,9,3,1.23
sweet,syrupy,0.484694302,6,3,2.37
sweet,mustardy,0.480467528,8,3,1.17
sweet,vanilla,0.479744434,7,3,3.84
sweet,flavourful,0.477894723,10,3,1.96
sweet,bubbly,0.476812214,6,2,3.2
sweet,fondants,0.476591378,8,2,1.11
sweet,peachy,0.474705786,6,2,2.87
sweet,biscuity,0.47440508,8,3,1.29
sweet,gorgeous,0.473863333,8,2,4.35
sweet,succulent,0.473828405,9,3,3
sweet,velvety,0.473772854,7,3,2.69
sweet,pleasant,0.473716676,8,2,4.22
sweet,mouthfeel,0.473083556,9,2,2.2
sweet,dainty,0.472340107,6,2,3.07
sweet,appley,0.471470237,6,2,1.64
sweet,sherried,0.470561951,8,2,1.01
sweet,butterscotch,0.469822913,12,3,2.59
sweet,flavorful,0.469329655,9,3,2.67
sweet,choccy,0.469011664,6,2,1.51
sweet,honeyed,0.468570054,7,2,2.26
sweet,bitey,0.46827209,5,2,1.92
sweet,mmm,0.468232304,3,1,3.55
sweet,streusel,0.46806404,8,2,1.53
sweet,girly,0.468040735,5,2,3.23
sweet,amaretti,0.467982471,8,4,1.3
sweet,raspberry,0.467115134,9,3,3.5
sweet,cloying,0.465744466,7,1,2.29
sweet,beautiful,0.465063572,9,3,5.22
sweet,cheery,0.464048058,6,2,3.01
sweet,flavoursome,0.463797092,11,3,1.95
sweet,ambrosial,0.463788539,9,3,1.61
sweet,orangy,0.463450998,6,3,1.17
sweet,breathy,0.462596685,7,2,2.34
sweet,dulcet,0.46220234,6,2,2.09
sweet,hoppy,0.460946679,5,2,2.66
sweet,lovable,0.460941523,7,3,3.23
sweet,homely,0.460153639,6,3,2.9
sweet,pungent,0.459191859,7,2,2.91
sweet,vacherin,0.458476037,8,3,1.02
sweet,crispy,0.457915962,6,2,3.37
sweet,stewy,0.457153261,5,2,1.26
sweet,saccharine,0.456808329,10,3,2.48
